Specification,Rows,ROC_AUC,PR_AUC,Brier_Score,Log_Loss,Top20_Capture,Top20_Lift
Exact duplicates removed (primary),41176,0.7061995415982485,0.33912158307799334,0.08725605617489417,0.31003018452694375,0.4547413793103448,2.2726031553398056
All source rows retained,41188,0.7022665426435208,0.3488481800584245,0.08613399352233139,0.30765938553780914,0.4525862068965517,2.2623817793773013
