Target_Responder_Capture,Target_Subscribers,Model_Contacts_Required,Random_Expected_Contacts,Expected_Contacts_Avoided_vs_Random
0.2,186,308,1647.2,1339.2
0.5,464,2009,4118.0,2109.0
0.8,743,4902,6588.8,1686.8000000000002
