Reference_Set,Comparison_Set,Comparison_Type,Metric,Difference_Definition,Estimate,CI95_Lower,CI95_Upper,Bootstrap_Samples,Bootstrap_Seed,Holdout_Rows,Pairing
Strict planning (primary),Planning plus macro context,Valid decision-point contrast,PR_AUC,Comparison minus reference,0.1152863754506836,0.0938128881489696,0.13781143349334113,1000,143,8236,Identical holdout indices within every resample
Strict planning (primary),Planning plus macro context,Valid decision-point contrast,Top20_Capture,Comparison minus reference,0.19827586206896558,0.17075172031610844,0.22591263246325727,1000,143,8236,Identical holdout indices within every resample
Strict planning (primary),Operational pre-contact,Valid decision-point contrast,PR_AUC,Comparison minus reference,0.08359746702822057,0.06644818807537584,0.09892016010559504,1000,143,8236,Identical holdout indices within every resample
Strict planning (primary),Operational pre-contact,Valid decision-point contrast,Top20_Capture,Comparison minus reference,0.1465517241379311,0.12110646687697162,0.1738251499772401,1000,143,8236,Identical holdout indices within every resample
Strict planning (primary),Operational plus macro context,Valid decision-point contrast,PR_AUC,Comparison minus reference,0.14541990308011132,0.12369530137568173,0.16713768816631258,1000,143,8236,Identical holdout indices within every resample
Strict planning (primary),Operational plus macro context,Valid decision-point contrast,Top20_Capture,Comparison minus reference,0.19612068965517243,0.17181882267033652,0.22742725474110892,1000,143,8236,Identical holdout indices within every resample
Operational plus macro context,Invalid: operational plus macro plus duration,Invalid leakage diagnostic,PR_AUC,Comparison minus reference,0.1669579972239662,0.14900518424522147,0.18520768724943223,1000,143,8236,Identical holdout indices within every resample
Operational plus macro context,Invalid: operational plus macro plus duration,Invalid leakage diagnostic,Top20_Capture,Comparison minus reference,0.22413793103448276,0.1951401213623907,0.2513665740791169,1000,143,8236,Identical holdout indices within every resample
