Model,Role,Selected_Base_Model,ROC_AUC,PR_AUC,Brier_Score,Log_Loss,Top20_Capture,Top20_Lift
Dummy Baseline,Locked benchmark,False,0.5,0.11267605633802817,0.09998016294421483,0.35207396158554427,0.1939655172413793,0.9693567961165048
Logistic Regression,Locked benchmark,False,0.7029604425004248,0.32675049316279237,0.20246325299387893,0.602271447245333,0.44288793103448276,2.2133646844660193
Random Forest,Locked benchmark,True,0.7070154725336428,0.3411185868127449,0.1884728523615235,0.5707579800165552,0.46336206896551724,2.3156856796116503
Histogram Gradient Boosting,Locked benchmark,False,0.7070217392842988,0.3421206379226849,0.19458385373275627,0.5858450108270128,0.4482758620689655,2.2402912621359223
Random Forest (isotonic calibration),Final selected model,True,0.7061995415982485,0.33912158307799334,0.08725605617489417,0.31003018452694375,0.4547413793103448,2.2726031553398056
