Metric,Estimate,CI95_Lower,CI95_Upper,Bootstrap_Samples
ROC_AUC,0.7061995415982485,0.6868051305073554,0.7244784552512182,1000
PR_AUC,0.33912158307799334,0.30732623081938537,0.37203249328008703,1000
Brier_Score,0.08725605617489417,0.0822940263651017,0.09173777491636827,1000
Top10_Capture,0.3426724137931034,0.3159596165235416,0.3708258809998392,1000
Top20_Capture,0.4547413793103448,0.4261011220478698,0.48260953598936435,1000
Top30_Capture,0.5581896551724138,0.5278600854569906,0.5850844411495776,1000
Top20_Lift,2.2726031553398056,2.1294713842149613,2.411876297577915,1000
