Evaluation_Split,Method,ROC_AUC,PR_AUC,Brier_Score,Log_Loss,Selected
Training nested OOF,Isotonic,0.700271282570155,0.3466845074779177,0.08623564354224426,0.3081370318290019,True
Training nested OOF,Sigmoid,0.7006942981466406,0.3461471827401036,0.08645026744519839,0.3089943317717385,False
Training nested OOF,None (raw),0.7000493570414923,0.3484592298237732,0.18634863246175234,0.5646106036735868,False
Fixed holdout,Selected raw model,0.7070154725336428,0.3411185868127449,0.1884728523615235,0.5707579800165552,False
Fixed holdout,Final (isotonic),0.7061995415982485,0.33912158307799334,0.08725605617489417,0.31003018452694375,True
