Information_Set,Primary,Feature_Count,Features,CV_PR_AUC,CV_ROC_AUC,Holdout_PR_AUC,Holdout_ROC_AUC,Holdout_Brier_Score,Top20_Capture,Top20_Lift
Strict planning (primary),True,10,age|job|marital|education|default|housing|loan|pdays|previous|poutcome,0.35297951313729203,0.7037936601737146,0.33912158307799334,0.7061995415982485,0.08725605617489417,0.4547413793103448,2.2726031553398056
Planning plus macro context,False,15,age|job|marital|education|default|housing|loan|pdays|previous|poutcome|emp.var.rate|cons.price.idx|cons.conf.idx|euribor3m|nr.employed,0.44705858553086825,0.7912357403126309,0.45440795852867694,0.8054634711841534,0.07699110113070336,0.6530172413793104,3.263501213592233
Operational pre-contact,False,14,age|job|marital|education|default|housing|loan|pdays|previous|poutcome|contact|month|day_of_week|campaign_prior,0.42251571353461576,0.7743408584964533,0.4227190501062139,0.7809681436734425,0.08036612081337391,0.6012931034482759,3.005006067961165
Operational plus macro context,False,19,age|job|marital|education|default|housing|loan|pdays|previous|poutcome|contact|month|day_of_week|campaign_prior|emp.var.rate|cons.price.idx|cons.conf.idx|euribor3m|nr.employed,0.4672817040619696,0.7995954883247265,0.48454148615810466,0.8132791414227205,0.07511513322223136,0.6508620689655172,3.2527305825242716
