contact_share,selected_record_share,contact_records,subscribers_captured,conversion_rate,lift,responder_capture,contacts_per_observed_subscriber,random_expected_subscribers,random_conversion_rate,random_lift,random_responder_capture,random_contacts_per_observed_subscriber
0.1,0.10004856726566294,824,318,0.3859223300970874,3.4250606796116503,0.3426724137931034,2.591194968553459,92.84507042253522,0.11267605633802817,1.0,0.10004856726566294,8.875
0.2,0.20009713453132588,1648,422,0.25606796116504854,2.2726031553398056,0.4547413793103448,3.90521327014218,185.69014084507043,0.11267605633802817,1.0,0.20009713453132588,8.875
0.30000000000000004,0.30002428363283146,2471,518,0.2096317280453258,1.8604815864022664,0.5581896551724138,4.77027027027027,278.4225352112676,0.11267605633802817,1.0,0.30002428363283146,8.875
0.4,0.4000728508984944,3295,595,0.18057663125948406,1.602617602427921,0.6411637931034483,5.53781512605042,371.2676056338028,0.11267605633802817,1.0,0.4000728508984944,8.875
0.5,0.5,4118,667,0.1619718309859155,1.4375,0.71875,6.173913043478261,464.0,0.11267605633802817,1.0,0.5,8.875
0.6000000000000001,0.6000485672656629,4942,746,0.150951031970862,1.3396904087414,0.8038793103448276,6.624664879356568,556.8450704225352,0.11267605633802817,1.0,0.6000485672656629,8.875
0.7000000000000001,0.7000971345313259,5766,805,0.13961151578217135,1.2390522025667707,0.8674568965517241,7.162732919254658,649.6901408450705,0.11267605633802817,1.0,0.7000971345313259,8.875
0.8,0.8000242836328315,6589,848,0.12869934739717712,1.142206708149947,0.9137931034482759,7.7700471698113205,742.4225352112676,0.11267605633802817,1.0,0.8000242836328315,8.875
0.9,0.9000728508984944,7413,893,0.1204640496425199,1.0691184405773642,0.9622844827586207,8.301231802911534,835.2676056338029,0.11267605633802817,1.0,0.9000728508984944,8.875
1.0,1.0,8236,928,0.11267605633802817,1.0,1.0,8.875,928.0,0.11267605633802817,1.0,1.0,8.875
