Model,ROC_AUC_Mean,ROC_AUC_Std,PR_AUC_Mean,PR_AUC_Std,Brier_Score_Mean,Log_Loss_Mean,Selection_Rank,Selected
Random Forest,0.7037936601737146,0.010526547870969651,0.35297951313729203,0.015303210071549963,0.18710950489637374,0.5667556668226268,1,True
Histogram Gradient Boosting,0.704949819867003,0.009586118729550994,0.3529511858269182,0.01787771419385046,0.19383612971051992,0.5829138807076301,2,False
Logistic Regression,0.6960350615580516,0.011884122313891616,0.33743332290307215,0.019741771058675923,0.20192510435858235,0.6003503110509214,3,False
Dummy Baseline,0.5,0.0,0.11265938069216756,6.788305942622794e-05,0.09996724670787424,0.35203955575992124,4,False
