Feature_Set,Deployable,Includes_Duration,ROC_AUC,PR_AUC,Brier_Score,Log_Loss,Top20_Capture,Top20_Lift
Operational plus macro context,True,False,0.8132791414227205,0.48454148615810466,0.07511513322223136,0.26519138854604746,0.6508620689655172,3.2527305825242716
Invalid: operational plus macro plus duration,False,True,0.9463443020638695,0.6514994833820709,0.05682446097303127,0.17857494809783775,0.875,4.3728762135922326
