random_seed,adjusted_rand_index
0,0.9236897725574615
1,0.9993418243903327
2,0.919445977463642
3,0.9335316387830033
4,0.9526147294493802
5,0.9466835720919216
6,0.9484879000650119
7,0.9154650963934552
8,0.9973274499337332
9,0.996166219177389
10,1.0
11,0.952994471015483
12,0.9531601589611903
13,0.9928518515938956
14,0.9182028767421012
15,0.919445977463642
16,0.9969363601784864
17,0.9182028767421012
18,0.9201796458156392
19,0.9178656229232517
20,0.9947709386177612
21,0.9182028767421012
22,0.9492179708496287
23,0.9928518515938956
24,0.919445977463642
