k,silhouette_score,inertia
2,0.43262378510886584,6474.146444080165
3,0.337748542891623,4856.484636333081
4,0.3355470584455458,3924.4596992758043
5,0.3181924695520876,3268.2119188435518
6,0.31556123524580165,2840.151415986709
7,0.3101487999113989,2533.0244267229027
8,0.3019523301646833,2325.523036449355
